capture_index,commit,acquired_at_utc,acquired_at_local,source_time_local,source_fetched_at_utc,source_sha256,source_git_url,valid_votes_zweit,reported_precincts,total_precincts,AfD_votes,AfD_percent,BSW_votes,BSW_percent,CDU_votes,CDU_percent,Die Linke_votes,Die Linke_percent,GRÜNE_votes,GRÜNE_percent,SPD_votes,SPD_percent,frame_start,frame_count,movie_start_seconds,movie_duration_seconds,image,source_local_file
1,090c55727349adcf25c243dee770737bef332023,2026-09-06T16:39:34.212928+00:00,2026-09-06T18:39:34.212928+02:00,06.09.2026 18:30:09,2026-09-06T16:39:33.948187+00:00,395489c9777bcb2f21ee3a5b3ee26fc1e7ddb8c74e493e8cc6686c94722e6d9c,https://github.com/volzinnovation/wahl-monitor.de/blob/090c55727349adcf25c243dee770737bef332023/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,1174,12,2660,703,59.88074957410562,53,4.514480408858603,157,13.373083475298126,86,7.325383304940375,53,4.514480408858603,64,5.45144804088586,0,92,0.0,3.68,frames/capture-001.png,
2,90f55ca78c0f49447c122088d68bcf2b7d83e8e4,2026-09-06T16:52:05.545296+00:00,2026-09-06T18:52:05.545296+02:00,06.09.2026 18:30:09,2026-09-06T16:52:05.289771+00:00,395489c9777bcb2f21ee3a5b3ee26fc1e7ddb8c74e493e8cc6686c94722e6d9c,https://github.com/volzinnovation/wahl-monitor.de/blob/90f55ca78c0f49447c122088d68bcf2b7d83e8e4/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,1174,12,2660,703,59.88074957410562,53,4.514480408858603,157,13.373083475298126,86,7.325383304940375,53,4.514480408858603,64,5.45144804088586,92,17,3.68,0.68,frames/capture-002.png,
3,1379df96d853ed076e00ca73aab6e7f3674e6a3b,2026-09-06T16:57:26.998456+00:00,2026-09-06T18:57:26.998456+02:00,06.09.2026 18:30:09,2026-09-06T16:57:26.803213+00:00,395489c9777bcb2f21ee3a5b3ee26fc1e7ddb8c74e493e8cc6686c94722e6d9c,https://github.com/volzinnovation/wahl-monitor.de/blob/1379df96d853ed076e00ca73aab6e7f3674e6a3b/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,1174,12,2660,703,59.88074957410562,53,4.514480408858603,157,13.373083475298126,86,7.325383304940375,53,4.514480408858603,64,5.45144804088586,109,19,4.36,0.76,frames/capture-003.png,
4,b5182d117e784f0de6c964ab7845df493324d1bd,2026-09-06T17:03:10.783828+00:00,2026-09-06T19:03:10.783828+02:00,06.09.2026 18:30:09,2026-09-06T17:03:10.521478+00:00,395489c9777bcb2f21ee3a5b3ee26fc1e7ddb8c74e493e8cc6686c94722e6d9c,https://github.com/volzinnovation/wahl-monitor.de/blob/b5182d117e784f0de6c964ab7845df493324d1bd/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,1174,12,2660,703,59.88074957410562,53,4.514480408858603,157,13.373083475298126,86,7.325383304940375,53,4.514480408858603,64,5.45144804088586,128,8,5.12,0.32,frames/capture-004.png,
5,a9a23b89f2ebfa668d402614ab5bfbcb724b9429,2026-09-06T17:05:31.763958+00:00,2026-09-06T19:05:31.763958+02:00,06.09.2026 18:30:09,2026-09-06T17:05:31.491143+00:00,395489c9777bcb2f21ee3a5b3ee26fc1e7ddb8c74e493e8cc6686c94722e6d9c,https://github.com/volzinnovation/wahl-monitor.de/blob/a9a23b89f2ebfa668d402614ab5bfbcb724b9429/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,1174,12,2660,703,59.88074957410562,53,4.514480408858603,157,13.373083475298126,86,7.325383304940375,53,4.514480408858603,64,5.45144804088586,136,5,5.44,0.2,frames/capture-005.png,
6,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T17:06:49.423839+00:00,2026-09-06T19:06:49.423839+02:00,06.09.2026 18:30:09,2026-09-06T17:06:49.155591+00:00,395489c9777bcb2f21ee3a5b3ee26fc1e7ddb8c74e493e8cc6686c94722e6d9c,https://github.com/volzinnovation/wahl-monitor.de/blob/433d5880f0a7c28d7dd90ec2f8669ae591d6993e/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,1174,12,2660,703,59.88074957410562,53,4.514480408858603,157,13.373083475298126,86,7.325383304940375,53,4.514480408858603,64,5.45144804088586,141,19,5.64,0.76,frames/capture-006.png,
7,e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,06.09.2026 18:30:09,2026-09-06T17:12:36.407280+00:00,395489c9777bcb2f21ee3a5b3ee26fc1e7ddb8c74e493e8cc6686c94722e6d9c,https://github.com/volzinnovation/wahl-monitor.de/blob/e12627e5ac88f1ec1551ac3449d031adb9e8dc43/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,1174,12,2660,703,59.88074957410562,53,4.514480408858603,157,13.373083475298126,86,7.325383304940375,53,4.514480408858603,64,5.45144804088586,160,5,6.4,0.2,frames/capture-007.png,
8,71dda051e5cc91d02348db3b76c32882bd1f3383,2026-09-06T17:14:09.430472+00:00,2026-09-06T19:14:09.430472+02:00,06.09.2026 18:30:09,2026-09-06T17:14:09.177858+00:00,395489c9777bcb2f21ee3a5b3ee26fc1e7ddb8c74e493e8cc6686c94722e6d9c,https://github.com/volzinnovation/wahl-monitor.de/blob/71dda051e5cc91d02348db3b76c32882bd1f3383/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,1174,12,2660,703,59.88074957410562,53,4.514480408858603,157,13.373083475298126,86,7.325383304940375,53,4.514480408858603,64,5.45144804088586,165,18,6.6,0.72,frames/capture-008.png,
9,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T17:19:41.198663+00:00,2026-09-06T19:19:41.198663+02:00,06.09.2026 19:07:51,2026-09-06T17:19:40.985955+00:00,871a1437f7354bef85a04ec70e11f17db3cc4e12d392aeeec6b69c49a6fed422,https://github.com/volzinnovation/wahl-monitor.de/blob/495732d5be6de63f6340e975915eccf6e9079367/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,84826,445,2660,45019,53.072171268243224,4160,4.904156744394407,14021,16.52913021950817,5951,7.015537688916134,4266,5.0291184306698415,5955,7.020253224247282,183,18,7.32,0.72,frames/capture-009.png,
10,db9637f6451c4ecff15acf3e882d5d2d295e3110,2026-09-06T17:24:52.225833+00:00,2026-09-06T19:24:52.225833+02:00,06.09.2026 19:07:51,2026-09-06T17:24:51.631336+00:00,871a1437f7354bef85a04ec70e11f17db3cc4e12d392aeeec6b69c49a6fed422,https://github.com/volzinnovation/wahl-monitor.de/blob/db9637f6451c4ecff15acf3e882d5d2d295e3110/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,84826,445,2660,45019,53.072171268243224,4160,4.904156744394407,14021,16.52913021950817,5951,7.015537688916134,4266,5.0291184306698415,5955,7.020253224247282,201,2,8.04,0.08,frames/capture-010.png,
11,5efee3aeae028aada9c1b62635ada906fc9293f3,2026-09-06T17:25:42.965806+00:00,2026-09-06T19:25:42.965806+02:00,06.09.2026 19:07:51,2026-09-06T17:25:42.710204+00:00,871a1437f7354bef85a04ec70e11f17db3cc4e12d392aeeec6b69c49a6fed422,https://github.com/volzinnovation/wahl-monitor.de/blob/5efee3aeae028aada9c1b62635ada906fc9293f3/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,84826,445,2660,45019,53.072171268243224,4160,4.904156744394407,14021,16.52913021950817,5951,7.015537688916134,4266,5.0291184306698415,5955,7.020253224247282,203,15,8.12,0.6,frames/capture-011.png,
12,99ec0cf101cce7dc00bcfcb9f15722cdc3a9b8b7,2026-09-06T17:29:58.225160+00:00,2026-09-06T19:29:58.225160+02:00,06.09.2026 19:07:51,2026-09-06T17:29:57.965580+00:00,871a1437f7354bef85a04ec70e11f17db3cc4e12d392aeeec6b69c49a6fed422,https://github.com/volzinnovation/wahl-monitor.de/blob/99ec0cf101cce7dc00bcfcb9f15722cdc3a9b8b7/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,84826,445,2660,45019,53.072171268243224,4160,4.904156744394407,14021,16.52913021950817,5951,7.015537688916134,4266,5.0291184306698415,5955,7.020253224247282,218,4,8.72,0.16,frames/capture-012.png,
13,8c4de5b49de52c788d9015b10b6fd8367c8b3657,2026-09-06T17:31:10.624086+00:00,2026-09-06T19:31:10.624086+02:00,06.09.2026 19:07:51,2026-09-06T17:31:10.364827+00:00,871a1437f7354bef85a04ec70e11f17db3cc4e12d392aeeec6b69c49a6fed422,https://github.com/volzinnovation/wahl-monitor.de/blob/8c4de5b49de52c788d9015b10b6fd8367c8b3657/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,84826,445,2660,45019,53.072171268243224,4160,4.904156744394407,14021,16.52913021950817,5951,7.015537688916134,4266,5.0291184306698415,5955,7.020253224247282,222,14,8.88,0.56,frames/capture-013.png,
14,54022b534f45331a7c3b6d920ff9a1ddd2a52510,2026-09-06T17:35:33.866455+00:00,2026-09-06T19:35:33.866455+02:00,06.09.2026 19:28:43,2026-09-06T17:35:33.591754+00:00,db8f93626e532f1b356e2aaa8857fa8c37d5a782083cd3984ee1c07e646c6f48,https://github.com/volzinnovation/wahl-monitor.de/blob/54022b534f45331a7c3b6d920ff9a1ddd2a52510/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,178559,713,2660,93885,52.57925951646234,8756,4.903701297610314,28554,15.991352998168672,12617,7.066011794420891,10180,5.70119680329751,12941,7.247464423523877,236,4,9.44,0.16,frames/capture-014.png,
15,df702e57eb901e2960903aebb776724d314f051a,2026-09-06T17:36:46.918877+00:00,2026-09-06T19:36:46.918877+02:00,06.09.2026 19:28:43,2026-09-06T17:36:46.642275+00:00,db8f93626e532f1b356e2aaa8857fa8c37d5a782083cd3984ee1c07e646c6f48,https://github.com/volzinnovation/wahl-monitor.de/blob/df702e57eb901e2960903aebb776724d314f051a/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,178559,713,2660,93885,52.57925951646234,8756,4.903701297610314,28554,15.991352998168672,12617,7.066011794420891,10180,5.70119680329751,12941,7.247464423523877,240,18,9.6,0.72,frames/capture-015.png,
16,f6961b475040d09ebb7b6629e4706c6537a3ea82,2026-09-06T17:42:10.100413+00:00,2026-09-06T19:42:10.100413+02:00,06.09.2026 19:34:05,2026-09-06T17:42:09.888093+00:00,b5c622e261a50c5c5ab15ac24211f8c11d4222191b92d8cb50092ee01bebbb2f,https://github.com/volzinnovation/wahl-monitor.de/blob/f6961b475040d09ebb7b6629e4706c6537a3ea82/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,238925,867,2660,122022,51.071256670503296,12012,5.027519095950612,38040,15.921314219943497,17604,7.368002511248299,15258,6.3861044260751285,18243,7.635450455163754,258,19,10.32,0.76,frames/capture-016.png,
17,9780487ed94797767b51f1c2b7ff3531abe9cfa1,2026-09-06T17:47:43.332641+00:00,2026-09-06T19:47:43.332641+02:00,06.09.2026 19:34:05,2026-09-06T17:47:43.061799+00:00,b5c622e261a50c5c5ab15ac24211f8c11d4222191b92d8cb50092ee01bebbb2f,https://github.com/volzinnovation/wahl-monitor.de/blob/9780487ed94797767b51f1c2b7ff3531abe9cfa1/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,238925,867,2660,122022,51.071256670503296,12012,5.027519095950612,38040,15.921314219943497,17604,7.368002511248299,15258,6.3861044260751285,18243,7.635450455163754,277,3,11.08,0.12,frames/capture-017.png,
18,54666c06e1950bc541ce44931d9798dae5fb0d51,2026-09-06T17:48:43.611743+00:00,2026-09-06T19:48:43.611743+02:00,06.09.2026 19:34:05,2026-09-06T17:48:43.342322+00:00,b5c622e261a50c5c5ab15ac24211f8c11d4222191b92d8cb50092ee01bebbb2f,https://github.com/volzinnovation/wahl-monitor.de/blob/54666c06e1950bc541ce44931d9798dae5fb0d51/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,238925,867,2660,122022,51.071256670503296,12012,5.027519095950612,38040,15.921314219943497,17604,7.368002511248299,15258,6.3861044260751285,18243,7.635450455163754,280,15,11.2,0.6,frames/capture-018.png,
19,d8c0757e1ed76695ed8e7d1b2513e139c7605573,2026-09-06T17:53:10.746862+00:00,2026-09-06T19:53:10.746862+02:00,06.09.2026 19:34:05,2026-09-06T17:53:10.482089+00:00,b5c622e261a50c5c5ab15ac24211f8c11d4222191b92d8cb50092ee01bebbb2f,https://github.com/volzinnovation/wahl-monitor.de/blob/d8c0757e1ed76695ed8e7d1b2513e139c7605573/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,238925,867,2660,122022,51.071256670503296,12012,5.027519095950612,38040,15.921314219943497,17604,7.368002511248299,15258,6.3861044260751285,18243,7.635450455163754,295,18,11.8,0.72,frames/capture-019.png,
20,ab2ae57cf0417154c232754f437ec5bf50727bb4,2026-09-06T17:58:42.912827+00:00,2026-09-06T19:58:42.912827+02:00,06.09.2026 19:34:05,2026-09-06T17:58:42.632840+00:00,b5c622e261a50c5c5ab15ac24211f8c11d4222191b92d8cb50092ee01bebbb2f,https://github.com/volzinnovation/wahl-monitor.de/blob/ab2ae57cf0417154c232754f437ec5bf50727bb4/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,238925,867,2660,122022,51.071256670503296,12012,5.027519095950612,38040,15.921314219943497,17604,7.368002511248299,15258,6.3861044260751285,18243,7.635450455163754,313,16,12.52,0.64,frames/capture-020.png,
21,046bb7ecb898f9607e425107eeb8b414bf9d9c53,2026-09-06T18:03:37.130785+00:00,2026-09-06T20:03:37.130785+02:00,06.09.2026 19:55:09,2026-09-06T18:03:36.859743+00:00,1ea3987a6e75bbc9a1de378fde70baa23fc257349a7ffdc8c77debe268cf6fd2,https://github.com/volzinnovation/wahl-monitor.de/blob/046bb7ecb898f9607e425107eeb8b414bf9d9c53/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,451651,1320,2660,221153,48.96546227064702,23009,5.094420249263258,73330,16.23598752133838,35010,7.751560386227419,32543,7.205342177920563,36668,8.118657990350957,329,10,13.16,0.4,frames/capture-021.png,
22,80a304eff2d7f1de688050e6982dc9913eddbddd,2026-09-06T18:06:30.053426+00:00,2026-09-06T20:06:30.053426+02:00,06.09.2026 19:55:54,2026-09-06T18:06:29.784020+00:00,cff6f7afc5c87a71600ab3dbe3256238c67c6cac5c5e55d39019b8d0d4f1aa63,https://github.com/volzinnovation/wahl-monitor.de/blob/80a304eff2d7f1de688050e6982dc9913eddbddd/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,477246,1364,2660,233238,48.87165109817578,24372,5.106800266529211,77724,16.28594058410128,36993,7.751348361222514,34485,7.225833218088784,38742,8.117826026828931,339,11,13.56,0.44,frames/capture-022.png,
23,de4c8c37fdfd6cc1decef979e6653ade4b3e7acc,2026-09-06T18:09:43.905245+00:00,2026-09-06T20:09:43.905245+02:00,06.09.2026 20:01:47,2026-09-06T18:09:43.625043+00:00,b59f8f338e2e7f1f7e1235bff8691827072a295e53c9a6526477ee9f47e5bf4e,https://github.com/volzinnovation/wahl-monitor.de/blob/de4c8c37fdfd6cc1decef979e6653ade4b3e7acc/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,528641,1458,2660,253739,47.99835805395344,27095,5.125406466770455,85380,16.150847172277594,41977,7.940549446599866,40759,7.710147340066321,44336,8.386788009253918,350,18,14.0,0.72,frames/capture-023.png,
24,3f6ad2bf3309f45308ac7405d25c60d7f63a79de,2026-09-06T18:15:10.797768+00:00,2026-09-06T20:15:10.797768+02:00,06.09.2026 20:01:47,2026-09-06T18:15:10.531546+00:00,b59f8f338e2e7f1f7e1235bff8691827072a295e53c9a6526477ee9f47e5bf4e,https://github.com/volzinnovation/wahl-monitor.de/blob/3f6ad2bf3309f45308ac7405d25c60d7f63a79de/data/2026-lsa/latest/official_sources/9fce65bb2d3229ca.csv,528641,1458,2660,253739,47.99835805395344,27095,5.125406466770455,85380,16.150847172277594,41977,7.940549446599866,40759,7.710147340066321,44336,8.386788009253918,368,18,14.72,0.72,frames/capture-024.png,
