key,level,name,party,vote_type,votes,valid_votes,share_percent,reported_precincts,total_precincts
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",AfD,Zweitstimmen,18134,46610,38.90581420296074,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",AfD,Erststimmen,19125,46414,41.205239798336706,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",CDU,Zweitstimmen,8551,46610,18.345848530358293,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",CDU,Erststimmen,13407,46414,28.88568104451243,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",SPD,Zweitstimmen,4709,46610,10.10298219266252,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",SPD,Erststimmen,3862,46414,8.32076528633602,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",GRÜNE,Zweitstimmen,4937,46610,10.592147607809483,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",GRÜNE,Erststimmen,1950,46414,4.201318567673547,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",Die Linke,Zweitstimmen,3953,46610,8.481012658227849,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",Die Linke,Erststimmen,5162,46414,11.121644331451717,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",BSW,Zweitstimmen,2963,46610,6.357004934563398,79,79
lsa:GEMEINDE:15001000,GEMEINDE,"Dessau-Roßlau, Stadt",BSW,Erststimmen,,46414,,79,79
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",AfD,Zweitstimmen,39835,133423,29.856171724515264,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",AfD,Erststimmen,40135,133221,30.126631687196465,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",CDU,Zweitstimmen,18609,133423,13.94737039341043,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",CDU,Erststimmen,25858,133221,19.40985280098483,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",SPD,Zweitstimmen,16841,133423,12.622261529121666,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",SPD,Erststimmen,13235,133221,9.934619917280308,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",GRÜNE,Zweitstimmen,27558,133423,20.654609774926364,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",GRÜNE,Erststimmen,9384,133221,7.043934514828743,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",Die Linke,Zweitstimmen,15263,133423,11.439556897986105,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",Die Linke,Erststimmen,33365,133221,25.044850286366263,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",BSW,Zweitstimmen,6580,133423,4.93168344288466,186,186
lsa:GEMEINDE:15002000,GEMEINDE,"Halle (Saale), Stadt",BSW,Erststimmen,5868,133221,4.404710968991375,186,186
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",AfD,Zweitstimmen,45161,138521,32.60227691108207,218,218
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",AfD,Erststimmen,45479,138457,32.84702109680262,218,218
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",CDU,Zweitstimmen,21221,138521,15.319698818229726,218,218
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",CDU,Erststimmen,35596,138457,25.70906490823866,218,218
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",SPD,Zweitstimmen,16728,138521,12.0761472989655,218,218
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",SPD,Erststimmen,11546,138457,8.339051113342048,218,218
