nummer,bezeichnung,kurzbezeichnung,wahlvorschlagstyp,landesliste_zugelassen,quelle
1,Christlich Demokratische Union Deutschlands,CDU,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
2,Sozialdemokratische Partei Deutschlands,SPD,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
3,BÜNDNIS 90/DIE GRÜNEN,GRÜNE,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
4,Die Linke,Die Linke,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
5,Alternative für Deutschland,AfD,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
6,Freie Demokratische Partei,FDP,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
7,PARTEI MENSCH KLIMA TIERSCHUTZ,Tierschutzpartei,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
8,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",Die PARTEI,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
9,Volt Deutschland,Volt,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
10,FREIE WÄHLER,FREIE WÄHLER,Partei,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
11,Mieterpartei,Mieterpartei,Partei,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
12,Die Urbane. Eine HipHop Partei,Die Urbane.,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
13,Deutsche Kommunistische Partei,DKP,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
14,Ökologisch-Demokratische Partei,ÖDP,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
15,Die Heimat,Die Heimat,Partei,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
16,"bergpartei, die überpartei",bergpartei,Partei,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
17,"Sozialistische Gleichheitspartei, Vierte Internationale",SGP,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
18,Menschliche Welt,Menschliche Welt,Partei,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
19,Wählergemeinschaft: Antifaschistisches Bündnis Spandau,AB Spandau,Wählergemeinschaft,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
20,Wählergemeinschaft: Ausländer*rein! Ausländer für Berlin,Ausländer für Berlin,Wählergemeinschaft,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
21,Wählergemeinschaft: Ausländer* rein! Migrants for Neukölln,Migrants for Neukölln,Wählergemeinschaft,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
22,"Wählergemeinschaft: Berliner:innen für eine Welt ohne Grenzen, Krieg und Ausbeutung",Berliner:innen ohne Grenzen,Wählergemeinschaft,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
23,Wählergemeinschaft: Berlin Retten - Treptow-Köpenick steht auf,Berlin Retten,Wählergemeinschaft,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
24,Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit,BSW,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
25,Losdemokratie - Partei eine starke Bürgerschaft,Losdemokratie,Partei,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
26,"MERA25 - Gemeinsam für Frieden, Solidarität und Freiheit",MERA25,Partei,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
27,Partei des Fortschritts,PdF,Partei,ja,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
28,Wählergemeinschaft: Wählergemeinschaft: Jan Mihm: Bester Mann,Jan Mihm: Bester Mann,Wählergemeinschaft,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
29,Demokratische Linke,Demokratische Linke,Partei,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
30,Feministische Partei DIE FRAUEN,DIE FRAUEN,Partei,nein,Amtsblatt für Berlin Nr. 36 vom 27. August 2026
