ags,municipality_name,source
11000001,Mitte,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000002,Friedrichshain-Kreuzberg,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000003,Pankow,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000004,Charlottenburg-Wilmersdorf,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000005,Spandau,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000006,Steglitz-Zehlendorf,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000007,Tempelhof-Schöneberg,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000008,Neukölln,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000009,Treptow-Köpenick,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000010,Marzahn-Hellersdorf,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000011,Lichtenberg,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
11000012,Reinickendorf,Amt für Statistik Berlin-Brandenburg / Berlin 2026 Bezirke
