feature,label,definition,date,areas,missing,valid_votes,vote_coverage_percent
log_population,Einwohnerzahl (log),ln(Bevölkerung insgesamt),2022-05-15,116,0,1015323,100.0
age67_share,Anteil 67 Jahre und älter,100 × (67–74 + 75+) / Bevölkerung,2022-05-15,116,0,1015323,100.0
age19_24_share,Anteil 19–24 Jahre,100 × Personen 19–24 / Bevölkerung,2022-05-15,116,0,1015323,100.0
male_share,Männeranteil,100 × männliche Personen / Bevölkerung,2022-05-15,116,0,1015323,100.0
foreign_citizenship_share,Ausländische Staatsangehörigkeit,100 × nichtdeutsche Personen / Bevölkerung; kein Migrationshintergrund,2022-05-15,116,0,1015323,100.0
single_household_share,Einpersonenhaushalte,100 × Einpersonenhaushalte / private Haushalte,2022-05-15,116,0,1015323,100.0
owner_occupancy_share,Wohneigentumsquote,Amtliche ETQ für bewohnte Wohnungen in Wohngebäuden ohne Wohnheime,2022-05-15,116,0,1015323,100.0
vacancy_share,Wohnungsleerstand,Amtliche LEQ für Wohnungen in Wohngebäuden ohne Wohnheime,2022-05-15,116,0,1015323,100.0
rent_eur_m2,Nettokaltmiete je m²,"Amtliche durchschnittliche Nettokaltmiete, EUR/m²",2022-05-15,116,0,1015323,100.0
abitur_share,Abitur/Fachhochschulreife,100 × Hochschulreife / Personen ab 15 in der Haushaltsstichprobe,2022-05-15,46,70,679443,66.91890166971496
no_vocational_qualification_share,Ohne Berufsabschluss,100 × ohne Berufsabschluss / Personen ab 15 in der Haushaltsstichprobe,2022-05-15,46,70,679443,66.91890166971496
ilo_unemployment_share,ILO-Erwerbslosenanteil,100 × Erwerbslose / Erwerbspersonen; keine BA-Arbeitslosenquote,2022-05-15,42,74,646786,63.70248679484263
manufacturing_share,Produzierendes Gewerbe,100 × Erwerbstätige im produzierenden Gewerbe / alle Erwerbstätigen der Haushaltsstichprobe,2022-05-15,46,70,679443,66.91890166971496
