AGS,Gemeindename,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen
08115034,Mötzingen,2503,,,,2155,,18,2137,866,253,195,114,535,64,,82,,,24,,,1,,,3,,,,,11,2144,794,218,196,133,532,80,4,39,25,9,13,4,9,0,3,85,,,,,
08115037,Nufringen,4202,,,,3711,,24,3687,1531,566,518,220,535,170,,110,,,24,,,3,,,10,,,,,19,3692,1380,511,542,239,539,208,6,52,21,15,22,9,11,0,4,133,,,,,
08115041,Renningen-_Stadt,12536,,,,10870,,65,10805,3798,1906,1745,596,1754,458,,399,,,102,,,8,,,39,,,,,44,10826,3424,1643,1750,726,1792,616,18,201,72,36,94,19,15,5,15,400,,,,,
08115042,Rutesheim-_Stadt,7705,,,,6829,,42,6787,2768,1209,945,422,958,232,,182,,,50,,,6,,,15,,,,,21,6808,2489,1075,957,475,1038,322,12,100,37,18,39,12,9,3,5,217,,,,,
08115044,Schönaich,7065,,,,6070,,37,6033,2436,1018,718,349,1050,245,,163,,,37,,,2,,,15,,,,,28,6042,2138,881,795,407,1103,298,20,82,47,27,31,5,13,0,14,181,,,,,
08115045,Sindelfingen-_Stadt,37079,,,,29733,,228,29505,10120,5574,3579,1704,5457,1902,,730,,,262,,,68,,,109,,,,,176,29557,9054,4701,3559,1919,5551,2239,60,349,200,107,197,41,35,32,24,1489,,,,,
08115046,Steinenbronn,3978,,,,3407,,27,3380,1333,492,418,178,686,165,,108,,,,,,,,,,,,,,15,3392,1124,443,404,255,725,175,9,55,25,11,22,4,8,2,4,126,,,,,
08115048,Waldenbuch-_Stadt,6066,,,,5289,,27,5262,2138,861,773,249,845,224,,172,,,,,,,,,,,,,,22,5267,1916,747,735,326,874,247,16,94,36,14,33,7,11,2,4,205,,,,,
08115050,Weil_der_Stadt-_Stadt,13285,,,,11365,,76,11289,4281,1728,1662,707,1967,454,,359,,,79,,,16,,,36,,,,,46,11319,3793,1499,1694,827,1976,624,25,188,79,62,55,26,12,6,13,440,,,,,
08115051,Weil_im_Schönbuch,7016,,,,6085,,44,6041,2357,891,735,455,1087,249,,188,,,52,,,7,,,20,,,,,28,6057,2143,795,790,432,1132,278,23,112,45,16,28,11,25,2,7,218,,,,,
08115052,Weissach,5515,,,,4841,,23,4818,2110,589,720,271,721,228,28,89,,,39,23,,,,,,,,,,11,4830,1849,620,690,359,747,226,13,58,41,14,30,8,17,0,4,154,,,,,
08115053,Jettingen,5469,,,,4650,,30,4620,1856,649,457,235,997,215,,165,,,22,,,2,,,22,,,,,23,4627,1613,537,489,295,1045,265,9,91,43,19,7,4,20,2,4,184,,,,,
08115054,Grafenau,4784,,,,4134,,38,4096,1701,538,487,299,731,169,,125,,,28,,,5,,,13,,,,,23,4111,1520,492,487,336,737,185,9,73,33,19,20,9,6,1,6,178,,,,,
08116004,Altbach,3954,,,,3333,,19,3314,1216,560,387,145,615,230,36,96,,,29,,,,,,,,,,,14,3319,1089,501,384,199,622,231,9,60,27,14,22,8,1,1,3,148,,,,,
08116005,Altdorf,1265,,,,1149,,9,1140,501,152,124,71,203,50,,39,,,,,,,,,,,,,,8,1141,446,125,129,85,210,50,8,19,8,9,3,3,4,0,2,40,,,,,
08116006,Altenriet,1484,,,,1329,,6,1323,537,174,141,85,297,52,,37,,,,,,,,,,,,,,3,1326,502,141,149,95,293,62,7,18,2,4,10,4,1,0,0,38,,,,,
08116007,Baltmannsweiler,4160,,,,3674,,17,3657,1371,524,460,164,768,179,40,114,,,37,,,,,,,,,,,10,3664,1218,496,435,225,792,206,19,69,44,13,22,2,2,0,3,118,,,,,
08116008,Bempflingen,2469,,,,2162,,26,2136,781,369,312,107,427,73,,67,,,,,,,,,,,,,,15,2147,709,310,309,126,418,75,5,32,25,24,12,6,1,1,3,91,,,,,
08116011,Beuren,2731,,,,2322,,8,2314,922,363,252,96,523,85,,73,,,,,,,,,,,,,,5,2317,840,296,250,122,542,99,13,36,17,6,18,5,1,3,2,67,,,,,
08116012,Bissingen_an_der_Teck,2520,,,,2208,,8,2200,847,343,334,123,362,85,,106,,,,,,,,,,,,,,7,2201,762,273,350,141,371,103,7,65,24,11,15,2,3,0,2,72,,,,,
08116014,Deizisau,4731,,,,4157,,24,4133,1670,649,498,154,746,203,50,126,,,37,,,,,,,,,,,22,4135,1453,636,498,224,776,226,20,72,37,13,30,3,1,1,2,143,,,,,
08116015,Denkendorf,7252,,,,6166,,33,6133,2602,930,703,253,1038,313,47,177,,,70,,,,,,,,,,,26,6140,2226,956,674,351,1084,349,20,96,47,17,54,5,20,2,5,234,,,,,
08116016,Dettingen_unter_Teck,4311,,,,3700,,29,3671,1480,593,469,197,642,177,,113,,,,,,,,,,,,,,22,3678,1307,509,482,263,633,192,12,49,25,23,16,9,18,0,3,137,,,,,
08116018,Erkenbrechtsweiler,1576,,,,1389,,12,1377,542,190,97,68,385,53,,42,,,,,,,,,,,,,,13,1376,496,181,92,74,380,44,9,33,5,7,8,1,2,2,1,41,,,,,
08116019,Esslingen_am_Neckar-_Stadt,58176,,,,47864,,260,47604,15615,8358,9136,2082,6187,4060,374,965,,,827,,,,,,,,,,,204,47660,13940,7769,8746,2641,6326,4393,165,468,327,199,479,94,40,47,39,1987,,,,,
08116020,Frickenhausen,6280,,,,5274,,34,5240,1966,871,528,231,1191,269,,184,,,,,,,,,,,,,,29,5245,1767,738,511,267,1189,304,22,91,53,26,25,10,16,1,8,217,,,,,
08116022,Großbettlingen,3202,,,,2776,,23,2753,1040,452,326,124,592,128,,91,,,,,,,,,,,,,,16,2760,907,387,331,150,593,136,9,51,29,14,9,8,6,1,4,125,,,,,
08116027,Hochdorf,3637,,,,3166,,22,3144,1273,512,412,135,540,144,20,81,,,27,,,,,,,,,,,18,3148,1146,497,430,151,551,142,8,49,32,11,20,6,2,1,1,101,,,,,
08116029,Holzmaden,1608,,,,1429,,11,1418,555,199,158,98,285,56,,67,,,,,,,,,,,,,,10,1419,528,161,148,105,271,68,7,31,11,13,8,8,4,1,0,55,,,,,
08116033,Kirchheim_unter_Teck-_Stadt,27922,,,,22934,,173,22761,7907,3918,3542,1304,4024,1453,,613,,,,,,,,,,,,,,116,22818,7038,3338,3441,1528,4011,1518,113,325,184,97,171,42,35,11,23,943,,,,,
08116035,Köngen,6804,,,,5955,,24,5931,2446,893,774,232,1007,293,42,187,,,57,,,,,,,,,,,17,5938,2207,878,756,313,1033,307,23,106,62,25,33,9,3,1,3,179,,,,,
08116036,Kohlberg,1690,,,,1495,,9,1486,630,206,118,91,333,69,,39,,,,,,,,,,,,,,5,1490,552,182,124,120,326,73,10,19,9,4,4,1,7,0,1,58,,,,,
08116037,Lichtenwald,1970,,,,1729,,5,1724,736,209,246,93,312,54,13,45,,,16,,,,,,,,,,,3,1726,637,204,233,135,340,57,3,20,18,6,8,4,2,2,4,53,,,,,
08116041,Neckartailfingen,2866,,,,2508,,16,2492,991,372,300,130,481,108,,110,,,,,,,,,,,,,,17,2491,887,310,294,162,501,109,6,57,31,8,12,2,6,2,2,102,,,,,
08116042,Neckartenzlingen,4071,,,,3398,,20,3378,1202,580,401,189,712,194,,100,,,,,,,,,,,,,,14,3384,1079,472,388,223,697,214,23,44,35,14,18,6,10,0,4,157,,,,,
08116043,Neidlingen,1316,,,,1161,,6,1155,519,147,114,71,212,45,,47,,,,,,,,,,,,,,7,1154,483,124,111,71,216,47,4,21,11,10,4,4,2,1,1,44,,,,,
08116046,Neuffen-_Stadt,4587,,,,4001,,24,3977,1584,579,514,182,809,191,,118,,,,,,,,,,,,,,24,3977,1393,496,536,233,833,199,15,49,26,13,19,7,14,1,6,137,,,,,
08116047,Neuhausen_auf_den_Fildern,8743,,,,7511,,37,7474,3272,1072,1015,362,1060,324,46,233,,,90,,,,,,,,,,,30,7481,2877,1065,1034,472,1099,353,27,126,53,27,51,7,7,3,10,270,,,,,
08116048,Notzingen,2843,,,,2504,,13,2491,1109,357,272,124,455,97,,77,,,,,,,,,,,,,,5,2499,995,314,284,161,470,95,17,39,17,13,12,6,15,2,0,59,,,,,
08116049,Nürtingen-_Stadt,27103,,,,22610,,154,22456,7954,3724,3254,1008,4411,1552,,553,,,,,,,,,,,,,,125,22485,6823,3133,3216,1351,4497,1617,101,265,199,123,135,43,37,4,19,922,,,,,
08116050,Oberboihingen,3966,,,,3428,,17,3411,1326,534,426,172,692,181,,80,,,,,,,,,,,,,,12,3416,1185,469,422,218,669,178,16,51,19,12,41,4,2,0,6,124,,,,,
08116053,Ohmden,1313,,,,1152,,13,1139,438,168,146,60,258,34,,35,,,,,,,,,,,,,,9,1143,412,136,142,67,251,54,9,20,16,0,3,2,0,0,0,31,,,,,
08116054,Owen-_Stadt,2424,,,,2168,,11,2157,934,316,289,132,322,98,,66,,,,,,,,,,,,,,11,2157,862,274,282,141,330,95,6,34,18,18,17,6,6,1,0,67,,,,,
08116056,Plochingen-_Stadt,8892,,,,7262,,63,7199,2479,1339,909,313,1256,585,69,139,,,110,,,,,,,,,,,39,7223,2137,1247,908,431,1240,642,27,78,70,28,61,22,5,4,9,314,,,,,
08116058,Reichenbach_an_der_Fils,5850,,,,4912,,36,4876,1789,841,574,216,941,244,58,144,,,69,,,,,,,,,,,23,4889,1616,803,558,244,955,309,21,84,45,24,33,9,7,1,5,175,,,,,
08116063,Schlaitdorf,1490,,,,1346,,1,1345,499,227,186,89,252,61,,31,,,,,,,,,,,,,,2,1344,474,166,184,86,264,61,3,14,14,3,6,4,4,0,1,60,,,,,
08116068,Unterensingen,3442,,,,3004,,25,2979,1118,505,327,181,604,152,,92,,,,,,,,,,,,,,18,2986,1018,423,323,207,612,167,23,39,31,21,17,6,7,1,1,90,,,,,
08116070,Weilheim_an_der_Teck-_Stadt,6929,,,,5873,,35,5838,2382,920,694,287,1088,263,,204,,,,,,,,,,,,,,26,5847,2124,801,674,369,1091,279,21,129,45,20,26,14,25,1,7,221,,,,,
08116071,Wendlingen_am_Neckar-_Stadt,10844,,,,9059,,55,9004,3258,1387,1197,310,1920,585,77,192,,,78,,,,,,,,,,,44,9015,2851,1326,1164,456,1920,595,39,122,60,60,46,11,12,6,8,339,,,,,
08116072,Wernau_(Neckar)-_Stadt,8461,,,,7037,,38,6999,2882,1038,834,289,1259,377,54,215,,,51,,,,,,,,,,,29,7008,2528,987,782,379,1298,426,24,109,81,36,39,12,5,1,13,288,,,,,
08116073,Wolfschlugen,4650,,,,4062,,29,4033,1550,652,550,219,699,209,,154,,,,,,,,,,,,,,20,4042,1417,571,520,258,720,216,20,75,39,19,31,9,10,0,6,131,,,,,
08116076,Aichwald,5693,,,,5037,,24,5013,2126,764,747,251,686,209,47,129,,,54,,,,,,,,,,,15,5022,1898,777,670,325,743,236,30,79,42,18,35,1,16,0,6,146,,,,,
08116077,Filderstadt-_Stadt,30180,,,,25353,,142,25211,9454,4276,4077,1330,3874,1420,,780,,,,,,,,,,,,,,102,25251,8619,3790,3475,1760,3966,1530,77,451,235,100,195,43,54,14,30,912,,,,,
08116078,Leinfelden-Echterdingen-_Stadt,26451,,,,22780,,114,22666,8382,4085,4240,1304,2798,1243,,614,,,,,,,,,,,,,,69,22711,7551,3595,3753,1779,2916,1403,73,285,185,85,232,33,16,6,23,776,,,,,
08116079,Lenningen,5492,,,,4732,,21,4711,1827,746,496,219,1035,228,,160,,,,,,,,,,,,,,13,4719,1663,624,484,278,1021,242,20,86,44,21,28,4,5,0,2,197,,,,,
08116080,Ostfildern-_Stadt,26200,,,,22523,,120,22403,8594,3370,3608,1022,3419,1377,131,636,,,246,,,,,,,,,,,89,22434,7311,3391,3537,1420,3520,1470,58,339,179,81,165,29,30,13,26,865,,,,,
08116081,Aichtal-_Stadt,7228,,,,6267,,37,6230,2503,927,916,386,1081,249,,168,,,,,,,,,,,,,,20,6247,2212,835,849,482,1139,299,16,83,48,26,30,11,9,1,6,201,,,,,
08117001,Adelberg,1564,,,,1374,,7,1367,495,255,118,60,309,61,25,34,,,10,,,0,,,,,,,,2,1372,476,216,103,78,313,61,14,16,9,6,9,3,1,0,2,65,,,,,
08117002,Aichelberg,1002,,,,870,,4,866,298,110,113,53,223,27,9,25,,,8,,,0,,,,,,,,1,869,272,113,102,67,224,27,3,12,9,6,4,2,2,0,0,26,,,,,
08117003,Albershausen,3194,,,,2733,,17,2716,1056,412,245,121,636,110,38,80,,,14,,,4,,,,,,,,15,2718,929,370,244,162,663,120,23,38,17,14,13,4,1,0,1,119,,,,,
08117006,Bad_Ditzenbach,2827,,,,2371,,26,2345,1008,308,189,85,536,81,28,87,,,18,,,5,,,,,,,,18,2353,895,273,199,133,561,107,16,31,29,6,11,4,3,3,2,80,,,,,
08117007,Bad_Überkingen,2972,,,,2594,,23,2571,1181,362,189,113,544,73,30,54,,,20,,,5,,,,,,,,17,2577,1041,318,203,147,586,81,9,41,27,7,16,3,4,1,5,88,,,,,
08117009,Birenbach,1447,,,,1245,,7,1238,478,216,110,63,282,36,14,36,,,2,,,1,,,,,,,,3,1242,438,176,122,77,294,41,7,21,8,2,3,2,2,3,3,43,,,,,
08117010,Böhmenkirch,4069,,,,3485,,31,3454,1815,349,198,113,707,100,32,104,,,31,,,5,,,,,,,,25,3460,1488,356,247,176,789,108,19,89,24,12,22,4,1,0,4,121,,,,,
08117011,Börtlingen,1364,,,,1220,,9,1211,456,191,130,53,270,52,17,35,,,6,,,1,,,,,,,,6,1214,411,169,118,64,287,59,15,18,13,8,5,3,11,0,1,32,,,,,
08117012,Bad_Boll,3892,,,,3343,,22,3321,1013,509,692,162,586,162,57,104,,,32,,,4,,,,,,,,12,3331,939,487,542,217,626,201,25,59,28,14,13,17,7,2,5,149,,,,,
08117014,Deggingen,3977,,,,3323,,19,3304,1442,518,287,107,663,128,43,86,,,27,,,3,,,,,,,,16,3307,1299,422,323,164,692,140,19,54,33,9,21,3,2,1,4,121,,,,,
08117015,Donzdorf-_Stadt,7979,,,,6770,,46,6724,3127,994,569,243,1229,220,52,244,,,41,,,5,,,,,,,,31,6739,2784,876,617,386,1334,266,41,113,56,20,32,14,3,0,10,187,,,,,
08117016,Drackenstein,338,,,,297,,2,295,136,34,15,11,65,10,8,8,,,8,,,0,,,,,,,,1,296,113,37,13,12,70,12,4,6,6,4,3,0,0,0,1,15,,,,,
08117017,Dürnau,1648,,,,1462,,11,1451,506,246,190,63,319,57,23,36,,,9,,,2,,,,,,,,6,1456,477,207,170,90,330,76,10,18,11,7,5,1,1,0,0,53,,,,,
08117018,Ebersbach_an_der_Fils-_Stadt,10495,,,,8741,,62,8679,3204,1706,900,349,1616,468,99,249,,,72,,,16,,,,,,,,42,8699,2879,1391,943,487,1675,585,42,122,79,44,40,18,7,6,8,373,,,,,
08117019,Eislingen/Fils-_Stadt,13377,,,,10471,,111,10360,3353,1704,689,395,2771,562,119,700,,,54,,,13,,,,,,,,95,10376,3126,1500,743,543,2824,613,52,226,97,30,44,10,10,4,9,545,,,,,
08117020,Eschenbach,1680,,,,1467,,14,1453,533,234,130,66,359,44,23,49,,,13,,,2,,,,,,,,9,1458,499,198,121,75,365,53,13,27,12,11,4,6,1,0,2,71,,,,,
08117023,Gammelshausen,1111,,,,950,,7,943,334,183,119,37,186,32,17,21,,,13,,,1,,,,,,,,5,945,321,172,97,55,185,44,6,8,10,3,9,5,0,1,0,29,,,,,
08117024,Geislingen_an_der_Steige-_Stadt,15832,,,,12083,,122,11961,4082,2402,998,415,2693,818,134,302,,,98,,,19,,,,,,,,91,11992,3584,1969,1007,563,2758,949,55,171,114,57,66,25,11,8,14,641,,,,,
08117025,Gingen_an_der_Fils,3276,,,,2819,,25,2794,1115,497,199,101,618,117,23,85,,,37,,,2,,,,,,,,14,2805,1012,434,226,139,652,125,5,40,31,8,10,5,6,0,3,109,,,,,
08117026,Göppingen-_Stadt,36407,,,,28639,,286,28353,9142,5161,2869,1246,6974,1663,316,721,,,223,,,38,,,,,,,,196,28443,8406,4155,2874,1579,7045,1910,122,327,234,131,133,40,36,20,32,1399,,,,,
08117028,Gruibingen,1571,,,,1335,,4,1331,494,237,125,72,303,54,12,27,,,6,,,1,,,,,,,,4,1331,438,192,114,90,305,70,12,19,9,6,5,2,5,0,1,63,,,,,
08117029,Hattenhofen,2272,,,,1995,,7,1988,732,291,201,109,485,75,20,55,,,17,,,3,,,,,,,,6,1989,676,256,186,141,497,70,10,29,21,3,13,6,3,0,1,77,,,,,
08117030,Heiningen,3711,,,,3192,,28,3164,1167,569,356,141,649,118,49,93,,,19,,,3,,,,,,,,17,3175,1103,527,325,176,674,140,14,50,24,17,14,4,4,3,2,98,,,,,
08117031,Hohenstadt,586,,,,508,,4,504,237,41,39,25,117,24,3,9,,,7,,,2,,,,,,,,1,507,195,41,44,39,124,23,0,8,4,1,6,2,0,1,1,18,,,,,
08117033,Kuchen,3959,,,,3224,,32,3192,1227,616,254,114,694,131,35,101,,,18,,,2,,,,,,,,17,3207,1091,538,279,149,718,158,13,54,29,17,10,5,3,0,5,138,,,,,
08117035,Mühlhausen_im_Täle,789,,,,680,,1,679,305,83,50,17,168,26,5,18,,,7,,,0,,,,,,,,3,677,259,76,49,37,173,31,4,10,8,4,2,0,0,0,0,24,,,,,
08117037,Ottenbach,1878,,,,1677,,10,1667,769,227,125,86,333,38,11,61,,,13,,,4,,,,,,,,5,1672,717,181,154,101,357,48,6,30,9,1,9,1,1,0,5,52,,,,,
08117038,Rechberghausen,4081,,,,3480,,20,3460,1328,588,353,166,716,144,33,114,,,12,,,6,,,,,,,,19,3461,1240,477,361,212,741,152,15,53,31,20,14,5,4,3,25,108,,,,,
08117042,Salach,5376,,,,4392,,37,4355,1640,776,335,180,961,231,51,145,,,32,,,4,,,,,,,,24,4368,1485,643,375,226,1003,234,22,59,33,21,22,7,3,2,2,231,,,,,
08117043,Schlat,1347,,,,1195,,11,1184,466,189,129,54,228,43,18,48,,,9,,,0,,,,,,,,8,1187,428,163,127,84,240,52,9,21,8,3,8,4,2,0,2,36,,,,,
08117044,Schlierbach,2804,,,,2427,,14,2413,1010,326,237,123,487,101,29,87,,,9,,,4,,,,,,,,8,2419,895,312,241,148,525,96,12,46,19,8,6,3,6,4,2,96,,,,,
08117049,Süßen-_Stadt,6805,,,,5655,,47,5608,2017,1002,455,243,1328,299,70,133,,,55,,,6,,,,,,,,31,5624,1811,841,488,335,1379,318,26,59,41,21,32,17,7,1,9,239,,,,,
08117051,Uhingen-_Stadt,9845,,,,8163,,70,8093,2700,1440,718,329,2134,342,118,236,,,69,,,7,,,,,,,,51,8112,2458,1182,736,458,2125,412,48,123,62,39,39,19,13,2,7,389,,,,,
08117053,Wäschenbeuren,3089,,,,2724,,19,2705,1104,434,268,100,547,99,35,95,,,18,,,5,,,,,,,,10,2714,999,378,305,153,588,106,13,50,16,9,10,3,2,0,5,77,,,,,
08117055,Wangen,2449,,,,2099,,10,2089,777,393,242,74,438,77,18,56,,,13,,,1,,,,,,,,12,2087,733,331,250,113,434,92,8,28,14,17,5,3,4,1,2,52,,,,,
08117058,Wiesensteig-_Stadt,1402,,,,1146,,4,1142,530,154,93,30,228,60,10,25,,,12,,,0,,,,,,,,2,1144,471,119,106,51,234,64,1,16,24,6,5,3,0,0,0,44,,,,,
08117060,Zell_unter_Aichelberg,2404,,,,2106,,17,2089,874,279,226,63,475,88,18,50,,,14,,,2,,,,,,,,7,2099,801,251,217,105,483,97,12,26,16,7,5,3,1,2,0,73,,,,,
08117061,Lauterstein-_Stadt,1893,,,,1623,,11,1612,794,196,84,57,386,41,11,36,,,6,,,1,,,,,,,,9,1614,681,197,76,93,406,56,4,19,13,5,6,1,1,0,0,56,,,,,
08118001,Affalterbach,3192,,,,2832,,13,2819,1211,442,291,117,522,104,31,63,,,26,12,,,,,,,,,,11,2821,1027,410,308,200,556,115,19,34,16,11,16,4,5,0,2,98,,,,,
08118003,Asperg-_Stadt,8945,,,,7582,,49,7533,2809,1108,1262,349,1220,486,55,152,,,67,25,,,,,,,,,,28,7554,2509,1119,1152,473,1190,515,23,96,55,38,43,18,7,2,7,307,,,,,
08118006,Benningen_am_Neckar,4453,,,,3909,,16,3893,1500,661,550,170,582,198,39,126,,,59,8,,,,,,,,,,11,3898,1290,618,603,275,614,207,16,61,26,19,33,3,3,0,1,129,,,,,
08118007,Besigheim-_Stadt,8843,,,,7662,,53,7609,2959,1077,1075,265,1387,416,58,190,,,150,32,,,,,,,,,,38,7624,2428,1098,1105,429,1473,448,30,123,62,30,62,18,9,2,4,303,,,,,
08118010,Bönnigheim-_Stadt,5450,,,,4680,,25,4655,1903,681,520,167,821,272,44,125,,,102,20,,,,,,,,,,20,4660,1591,694,530,267,856,283,23,81,48,16,62,17,9,2,3,178,,,,,
08118011,Ditzingen-_Stadt,15907,,,,13663,,65,13598,5330,2118,2068,703,2097,689,105,310,,,120,58,,,,,,,,,,53,13610,4700,2027,2091,897,2161,745,57,204,102,52,104,22,19,4,7,418,,,,,
08118012,Eberdingen,4614,,,,3590,,25,3565,1477,439,441,190,678,195,35,77,,,26,7,,,,,,,,,,21,3569,1247,460,416,259,694,210,14,72,24,13,19,10,7,1,3,120,,,,,
