ags,municipality_name,source,fragment_count,wahlkreis_count,wahlkreis_ids
11100000,Koblenz,official-state-portal-2021-tree,29,2,108|109
13100007,Bad Neuenahr-Ahrweiler,official-workbook-2021-summary,0,1,114
13100070,Remagen,official-state-portal-2021-tree,6,1,113
13100077,Sinzig,official-state-portal-2021-tree,6,1,113
13100090,Grafschaft,official-workbook-2021-summary,0,1,114
13101001,Adenau,official-state-portal-2021-tree,1,1,114
13101004,Antweiler,official-state-portal-2021-tree,1,1,114
13101005,Aremberg,official-state-portal-2021-tree,1,1,114
13101008,Barweiler,official-state-portal-2021-tree,1,1,114
13101009,Bauler,official-state-portal-2021-tree,1,1,114
13101015,Dankerath,official-state-portal-2021-tree,1,1,114
13101018,Dorsel,official-state-portal-2021-tree,1,1,114
13101021,Eichenbach,official-state-portal-2021-tree,1,1,114
13101022,Fuchshofen,official-state-portal-2021-tree,1,1,114
13101026,Harscheid,official-state-portal-2021-tree,1,1,114
13101028,Herschbroich,official-state-portal-2021-tree,1,1,114
13101030,Hoffeld,official-state-portal-2021-tree,1,1,114
13101032,Honerath,official-state-portal-2021-tree,1,1,114
13101033,Hümmel,official-state-portal-2021-tree,1,1,114
13101034,Insul,official-state-portal-2021-tree,1,1,114
13101037,Kaltenborn,official-state-portal-2021-tree,1,1,114
13101042,Kottenborn,official-state-portal-2021-tree,1,1,114
13101044,Leimbach,official-state-portal-2021-tree,1,1,114
13101050,Meuspath,official-state-portal-2021-tree,1,1,114
13101051,Müllenbach,official-state-portal-2021-tree,1,1,114
13101052,Müsch,official-state-portal-2021-tree,1,1,114
13101058,Nürburg,official-state-portal-2021-tree,1,1,114
13101062,Ohlenhard,official-state-portal-2021-tree,1,1,114
13101065,Pomster,official-state-portal-2021-tree,1,1,114
13101066,Quiddelbach,official-state-portal-2021-tree,1,1,114
13101069,Reifferscheid,official-state-portal-2021-tree,1,1,114
13101072,Rodder,official-state-portal-2021-tree,1,1,114
13101074,Schuld,official-state-portal-2021-tree,1,1,114
13101075,Senscheid,official-state-portal-2021-tree,1,1,114
13101076,Sierscheid,official-state-portal-2021-tree,1,1,114
13101079,Trierscheid,official-state-portal-2021-tree,1,1,114
13101082,Wershofen,official-state-portal-2021-tree,1,1,114
13101083,Wiesemscheid,official-state-portal-2021-tree,1,1,114
13101084,Wimbach,official-state-portal-2021-tree,1,1,114
13101085,Winnerath,official-state-portal-2021-tree,1,1,114
13101086,Wirft,official-state-portal-2021-tree,1,1,114
13101501,Dümpelfeld,official-state-portal-2021-tree,1,1,114
13102002,Ahrbrück,official-state-portal-2021-tree,1,1,114
13102003,Altenahr,official-state-portal-2021-tree,1,1,114
13102011,Berg,official-state-portal-2021-tree,1,1,114
13102017,Dernau,official-state-portal-2021-tree,1,1,114
13102027,Heckenbach,official-state-portal-2021-tree,1,1,114
13102029,Hönningen,official-state-portal-2021-tree,1,1,114
13102036,Kalenborn,official-state-portal-2021-tree,1,1,114
13102039,Kesseling,official-state-portal-2021-tree,1,1,114
13102040,Kirchsahr,official-state-portal-2021-tree,1,1,114
13102047,Lind,official-state-portal-2021-tree,1,1,114
13102049,Mayschoß,official-state-portal-2021-tree,1,1,114
13102068,Rech,official-state-portal-2021-tree,1,1,114
